"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"4","3","Aang, Air Nomad","tle","NM","English","","","2026-08-01","210","False","False","0.00"
"4","3","Aang, at the Crossroads // Aang, Destined Savior","tla","NM","English","","","2026-08-01","304","False","False","0.00"
"4","3","Aang's Iceberg","tla","NM","English","","","2026-08-01","336","False","False","0.00"
"4","3","Aang, Swift Savior // Aang and La, Ocean's Fury","tla","NM","English","","","2026-08-01","298","False","False","0.00"
"4","3","Aatchik, Emerald Radian","dft","NM","English","","","2026-08-01","473","False","False","0.00"
"4","3","Abaddon the Despoiler","40k","NM","English","","","2026-08-01","178","False","False","0.00"
"4","3","Abandoned Air Temple","tla","NM","English","","","2026-08-01","386","False","False","0.00"
"4","3","Aberrant","40k","NM","English","","","2026-08-01","86★","False","False","0.00"
"4","3","Abhorrent Oculus","sch","NM","English","","","2026-08-01","50","False","False","0.00"
"4","3","Abhorrent Oculus","pdsk","NM","English","","","2026-08-01","42s","False","False","0.00"
"4","3","Abigale, Eloquent First-Year","ecl","NM","English","","","2026-08-01","368","False","False","0.00"
"4","3","Aboleth Spawn","clb","NM","English","","","2026-08-01","612","False","False","0.00"
"4","3","Abomination","ren","NM","English","","","2026-08-01","46","False","False","0.00"
"1","1","Alibou, Ancient Witness","c21","NM","English","","","2026-08-01","334","False","False","0.00"
"1","1","Angel of the Ruins","c21","NM","English","","","2026-08-01","338","False","False","0.00"
"1","1","Archaeomancer's Map","c21","NM","English","","","2026-08-01","339","False","False","0.00"
"1","1","Bloodthirsty Blade","c21","NM","English","","","2026-08-01","235","False","False","0.00"
"1","1","Bronze Guardian","c21","NM","English","","","2026-08-01","13","False","False","0.00"
"1","1","Combustible Gearhulk","c21","NM","English","","","2026-08-01","163","False","False","0.00"
